instant;dteday;season;year;month;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
1;01/01/2011;Spring;2011;Jan;0;Saturday;Misty;14.110.847;1.818.125;8.058.330.000.000.000;10.749.882;331;654;985;weekend;Lembab
2;02/01/2011;Spring;2011;Jan;0;Sunday;Misty;14.902.598.000.000.000;17.686.950.000.000.000;696.087;16.652.113;131;670;801;weekend;Lembab
3;03/01/2011;Spring;2011;Jan;0;Monday;Clear;8.050.924;947.025;437.273;16.636.703;120;1229;1349;weekdays;Kering
4;04/01/2011;Spring;2011;Jan;0;Tuesday;Clear;8.200.000.000.000.000;106.061;590.435;10.739.832;108;1454;1562;weekdays;Ideal
5;05/01/2011;Spring;2011;Jan;0;Wednesday;Clear;9.305.237;114.635;43.695.699.999.999.900;12.522.300.000.000.000;82;1518;1600;weekdays;Kering
6;06/01/2011;Spring;2011;Jan;0;Thrusday;Clear;8.378.268;1.166.045;518.261;60.008.684;88;1518;1606;weekdays;Ideal
7;07/01/2011;Spring;2011;Jan;0;Friday;Misty;8.057.402;1.044.195;498.696;11.304.642;148;1362;1510;weekdays;Ideal
8;08/01/2011;Spring;2011;Jan;0;Saturday;Misty;6.765.000.000.000.000;81.127;535.833;17.875.868;68;891;959;weekend;Ideal
9;09/01/2011;Spring;2011;Jan;0;Sunday;Clear;5.671.653;580.875;43.416.700.000.000.000;2.425.065;54;768;822;weekend;Kering
10;10/01/2011;Spring;2011;Jan;0;Monday;Clear;6.184.153;75.443.999.999.999.900;482.917;14.958.889;41;1280;1321;weekdays;Ideal
11;11/01/2011;Spring;2011;Jan;0;Tuesday;Misty;69.327.309.999.999.900;95.732;686.364;8.182.844.000.000.000;43;1220;1263;weekdays;Lembab
12;12/01/2011;Spring;2011;Jan;0;Wednesday;Clear;70.818.069.999.999.900;802.365;59.954.499.999.999.900;20.410.009;25;1137;1162;weekdays;Ideal
13;13/01/2011;Spring;2011;Jan;0;Thrusday;Clear;6.765.000.000.000.000;7.544.149.999.999.990;470.417;20.166.999.999.999.900;38;1368;1406;weekdays;Ideal
14;14/01/2011;Spring;2011;Jan;0;Friday;Clear;659.567;942.065;537.826;8.478.716;54;1367;1421;weekdays;Ideal
15;15/01/2011;Spring;2011;Jan;0;Saturday;Misty;9.566.653;124.056;49.875;10.583.521;222;1026;1248;weekend;Ideal
16;16/01/2011;Spring;2011;Jan;0;Sunday;Clear;9.498.347;1.171.085;48.375;12.625.010.999.999.900;251;953;1204;weekend;Ideal
17;17/01/2011;Spring;2011;Jan;1;Monday;Misty;7.209.153;8.838.550.000.000.000;53.75;12.999.139;117;883;1000;weekdays;Ideal
18;18/01/2011;Spring;2011;Jan;0;Tuesday;Misty;8.883.347;1.161.665;8.616.669.999.999.990;9.833.924.999.999.990;9;674;683;weekdays;Lembab
19;19/01/2011;Spring;2011;Jan;0;Wednesday;Misty;11.979.134;14.921.100.000.000.000;741.739;13.957.239;78;1572;1650;weekdays;Lembab
20;20/01/2011;Spring;2011;Jan;0;Thrusday;Misty;10.728.347;127.525;53.833.299.999.999.900;13.125.568;83;1844;1927;weekdays;Ideal
21;21/01/2011;Spring;2011;Jan;0;Friday;Clear;72.775;789.165;457.083;23.667.214;75;1468;1543;weekdays;Ideal
22;22/01/2011;Spring;2011;Jan;0;Saturday;Clear;24.243.464;39.534.800.000.000.000;40.0;1.152.199;93;888;981;weekend;Kering
23;23/01/2011;Spring;2011;Jan;0;Sunday;Clear;39.573.897.000.000.000;4.941.955;436.522;165.222;150;836;986;weekend;Kering
24;24/01/2011;Spring;2011;Jan;0;Monday;Clear;39.930.433;58.965;49.173.899.999.999.900;1.060.811;86;1330;1416;weekdays;Ideal
25;25/01/2011;Spring;2011;Jan;0;Tuesday;Misty;9.162.598.000.000.000;117.263;61.695.699.999.999.900;8.696.332;186;1799;1985;weekdays;Ideal
26;26/01/2011;Spring;2011;Jan;0;Wednesday;Light_Rainsnow;89.175;10.18;86.25;1.968.795;34;472;506;weekdays;Lembab
27;27/01/2011;Spring;2011;Jan;0;Thrusday;Clear;7.995;10.985;68.75;7.627.078.999.999.990;15;416;431;weekdays;Lembab
28;28/01/2011;Spring;2011;Jan;0;Friday;Misty;8.342.597.999.999.990;11.165.849.999.999.900;7.930.430.000.000.000;82.611;38;1129;1167;weekdays;Lembab
29;29/01/2011;Spring;2011;Jan;0;Saturday;Clear;8.057.402;10.606.300.000.000.000;6.517.389.999.999.990;9.739.455;123;975;1098;weekend;Lembab
30;30/01/2011;Spring;2011;Jan;0;Sunday;Clear;8.877.402;125.161;722.174;4.956.834.199.999.990;140;956;1096;weekend;Lembab
31;31/01/2011;Spring;2011;Jan;0;Monday;Misty;7.414.153;93.125;60.375;12.541.864;42;1459;1501;weekdays;Ideal
32;01/02/2011;Spring;2011;Feb;0;Tuesday;Misty;78.791.340.000.000.000;117.265;829.565;3.565.271;47;1313;1360;weekdays;Lembab
33;02/02/2011;Spring;2011;Feb;0;Wednesday;Misty;10.66;1.272.085;775.417;17.708.636;72;1454;1526;weekdays;Lembab
34;03/02/2011;Spring;2011;Feb;0;Thrusday;Clear;7.665.237;88.939;437.826;18.609.384;61;1489;1550;weekdays;Kering
35;04/02/2011;Spring;2011;Feb;0;Friday;Misty;8.663.464;11.429.350.000.000.000;58.521.699.999.999.900;8.565.213;88;1620;1708;weekdays;Ideal
36;05/02/2011;Spring;2011;Feb;0;Saturday;Misty;9.566.653;12.152.899.999.999.900;9.291.669.999.999.990;10.792.293;100;905;1005;weekend;Lembab
37;06/02/2011;Spring;2011;Feb;0;Sunday;Clear;11.719.153;1.458.355;56.833.299.999.999.900;95.006;354;1269;1623;weekend;Ideal
38;07/02/2011;Spring;2011;Feb;0;Monday;Clear;11.138.347;151.829;7.383.330.000.000.000;30.423.561;120;1592;1712;weekdays;Lembab
39;08/02/2011;Spring;2011;Feb;0;Tuesday;Clear;9.054.153;99.123;537.917;2.425.065;64;1466;1530;weekdays;Ideal
40;09/02/2011;Spring;2011;Feb;0;Wednesday;Misty;5.526.102.999.999.990;721.415;494.783;12.652.213;53;1552;1605;weekdays;Ideal
41;10/02/2011;Spring;2011;Feb;0;Thrusday;Clear;5.918.268;7.477.399.999.999.990;437.391;14.869.645;47;1491;1538;weekdays;Kering
42;11/02/2011;Spring;2011;Feb;0;Friday;Clear;7.752.731.000.000.000;1.067.545;506.364;7.272.849.999.999.990;149;1597;1746;weekdays;Ideal
43;12/02/2011;Spring;2011;Feb;0;Saturday;Clear;91.225;116.477;544.167;13.625.589;288;1184;1472;weekend;Ideal
44;13/02/2011;Spring;2011;Feb;0;Sunday;Clear;12.977.402.000.000.000;1.620.565;457.391;17.479.160.999.999.900;397;1192;1589;weekend;Ideal
