instant;dteday;season;year;month;hours;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
1;01/01/2011;Spring;2011;Jan;0;0;Saturday;Clear;9.84;14.395;81.0;0.0;3;13;16;weekend;Lembab
2;01/01/2011;Spring;2011;Jan;1;0;Saturday;Clear;9.02;13.635;80.0;0.0;8;32;40;weekend;Lembab
3;01/01/2011;Spring;2011;Jan;2;0;Saturday;Clear;9.02;13.635;80.0;0.0;5;27;32;weekend;Lembab
4;01/01/2011;Spring;2011;Jan;3;0;Saturday;Clear;9.84;14.395;75.0;0.0;3;10;13;weekend;Lembab
5;01/01/2011;Spring;2011;Jan;4;0;Saturday;Clear;9.84;14.395;75.0;0.0;0;1;1;weekend;Lembab
6;01/01/2011;Spring;2011;Jan;5;0;Saturday;Misty;9.84;12.879.999.999.999.900;75.0;60.032;0;1;1;weekend;Lembab
7;01/01/2011;Spring;2011;Jan;6;0;Saturday;Clear;9.02;13.635;80.0;0.0;2;0;2;weekend;Lembab
8;01/01/2011;Spring;2011;Jan;7;0;Saturday;Clear;8.200.000.000.000.000;12.879.999.999.999.900;86.0;0.0;1;2;3;weekend;Lembab
9;01/01/2011;Spring;2011;Jan;8;0;Saturday;Clear;9.84;14.395;75.0;0.0;1;7;8;weekend;Lembab
10;01/01/2011;Spring;2011;Jan;9;0;Saturday;Clear;13.120.000.000.000.000;17.424.999.999.999.900;76.0;0.0;8;6;14;weekend;Lembab
11;01/01/2011;Spring;2011;Jan;10;0;Saturday;Clear;15.58;19.695;76.0;16.997.899.999.999.900;12;24;36;weekend;Lembab
12;01/01/2011;Spring;2011;Jan;11;0;Saturday;Clear;14.76;16.665;81.0;190.012;26;30;56;weekend;Lembab
13;01/01/2011;Spring;2011;Jan;12;0;Saturday;Clear;17.22;21.21;77.0;190.012;29;55;84;weekend;Lembab
14;01/01/2011;Spring;2011;Jan;13;0;Saturday;Misty;18.86;22.725;72.0;19.999.499.999.999.900;47;47;94;weekend;Lembab
15;01/01/2011;Spring;2011;Jan;14;0;Saturday;Misty;18.86;22.725;72.0;190.012;35;71;106;weekend;Lembab
16;01/01/2011;Spring;2011;Jan;15;0;Saturday;Misty;18.04;21.97;77.0;19.999.499.999.999.900;40;70;110;weekend;Lembab
17;01/01/2011;Spring;2011;Jan;16;0;Saturday;Misty;17.22;21.21;82.0;19.999.499.999.999.900;41;52;93;weekend;Lembab
